Country,Cities,Addresses,Phones,Faxes,Emails,Full Info
Japan,Tokio,"Wakamatsu Building 7F, 3-3-6, Nihonbashi-honcho, Chuo-ku, Tokyo, 103-0023",(81-3) 6202-7590,(81-3) 6202-7591,tyo@uzairways.com,"Tokio
Address: Wakamatsu Building 7F, 3-3-6, Nihonbashi-honcho, Chuo-ku, Tokyo, 103-0023
Tel.: (81-3) 6202-7590
Fax: (81-3) 6202-7591
e-mail: tyo@uzairways.com"
Kazakhstan,"Almaty, Astana",,+7 (771) 001-07-40 (,,ala@uzairways.com; tse@uzairways.com,"Almaty
Almaty Kaldayakova str 34/29, Ayteke bi, 3-floor, office 12
Тел.+7(727)-228-04-04
+7(727)-390-00-52
+7(727)-390-00-68

E-mail :ala@uzairways.com
Astana
Astana, Kabanbai Batyr str. 119, Nursultan Nazarbayev International Airport (Official Delegations Hall building), floor No. 2
Phone: +7 (771) 001-07-40 (Working hours: Monday-Friday 09:00-17:00)
email: tse@uzairways.com"
South Korea,Seoul,"#1411 Royal Building, 19 Saemunan-ro 5-gil, Jongno-gu, Seoul, Republic of Korea",,+827226858 (,sel@uzairways.com,"Seoul
Address : #1411 Royal Building, 19 Saemunan-ro 5-gil, Jongno-gu, Seoul, Republic of Korea
Tel. :
- Seoul Office : +8227226856 (Outside Korea)
02-722-6856 ( Within Korea)
- Incheon Airport Office : +82327443700 (Outside Korea)
032-744-3700 (Within Korea)
Fax : +827226858 (Outside Korea)
02-722-6858 (Within Korea)
e-mail: sel@uzairways.com"
Kyrgyzstan,Bishkek,"107, Kievskaya str., Bishkek, 720040",(996-312) 900123,(996-312) 909321,fru@uzairways.com,"Bishkek
Address: 107, Kievskaya str., Bishkek, 720040
Tel.: (996-312) 900123, 900321
Fax: (996-312) 909321
e-mail: fru@uzairways.com"
Latvia,Riga,"11/2 Elizabetes str., Riga, Latvia-1010",(371) 67-32-45-63/64/65,,rix@uzairways.com,"Riga
Address: 11/2 Elizabetes str., Riga, Latvia-1010
Tel.: (371) 67-32-45-63/64/65
e-mail: rix@uzairways.com"
Malaysia,Kuala Lumpur,"Unit C-08-05, 8th Floor, KL Trillion, No. 338, Jalan Tun Razak, 50400 Kuala Lumpur",+ 60327797577,,kul@uzairways.com,"Kuala Lumpur
Address: Unit C-08-05, 8th Floor, KL Trillion, No. 338, Jalan Tun Razak, 50400 Kuala Lumpur
Tel.: + 60327797577
e-mail: kul@uzairways.com"
Russia,"Moscow, St. Petersburg, Kazan, Novosibirsk, Rostov-on-Don","ул. Amirkhana Eniki 3, 420097; house 6, Potaninskaya str.; house 264, Sholokhov Av., Rostov-on-Don, 344009",+7(495) 230-31-82; +7(929) 900-40-00; +7 (929) 900-04-74; +7(495) 798-87-27; +7 (909) 982-27-27; +7 (909) 978-27-27; +7 (909) 681-79-79; 7 (495) 669-00-81; +7 (909) 979-27-27; +7(863)-272-3636,+7 (843) 598-46-91; 7 (383) 222-68-72; 7-383-222-62-05; +7(863)-300-3888,reception@mowhy.ru; led@uzairways.com; kzn@uzairways.com; ovb@uzairways.com; rov@uzairways.com,"Moscow
Central office Moscow, st. Tverskaya house 28 building 2, tel: +7(495) 230-31-82
email: reception@mowhy.ru
Representative at Domodedovo airport: tel: +7(929) 900-40-00
Representative at Vnukovo airport: tel: +7 (929) 900-04-74
For questions related to the purchase of air tickets, please contact:
Air ticket offices
Moscow, st. Tverskaya house 28 building 2, tel: +7(495) 798-87-27, +7 (925) 120-27-27
Moscow, st. Zelenodolskaya, 3, building 2, tel: +7 (909) 982-27-27
Moscow region, Domodedovo, ter. Domodedovo Airport, building 9, cash desk 223, tel: +7 (909) 978-27-27
Moscow region, Domodedovo, ter. Domodedovo Airport, building 9, cash desk 50, tel: +7 (909) 681-79-79
Moscow, metro station Novokuznetskaya, Pyatnitsky lane, 2, tel: 7 (495) 669-00-81;
Moscow region, Vnukovo airport, Reysovaya 2 str., building 2-5, departure area, cash desk 232-233, 226, tel: +7 (909) 979-27-27
St. Petersburg
Оffice: “Pekin”, house 41, lit. ZD, Pulkovskoe shosse str., St. Petersburg, 196140.
e-mail: led@uzairways.com
Kazan
Address: ул. Amirkhana Eniki 3, 420097
Tel./Fax: +7 (843) 598-46-91
e-mail: kzn@uzairways.com
Novosibirsk
Address: house 6, Potaninskaya str.
Tel./Fax: 7 (383) 222-68-72; 7-383-222-62-05
e-mail: ovb@uzairways.com
Rostov-on-Don
Address: house 264, Sholokhov Av., Rostov-on-Don, 344009
Tel.: +7(863)-272-3636
Fax: +7(863)-300-3888
e-mail: rov@uzairways.com"
Saudi Arabia,Jeddah,Skab Center – Madinah Road – P.O. BOX 18600 JEDDAH 21425 – K.S.A.,"(966-2) 668-90-43
       (966-2) 668-92-65",,jed@uzairways.com,"Jeddah
Address: Skab Center – Madinah Road – P.O. BOX 18600 JEDDAH 21425 – K.S.A.
Tel.: (966-2) 668-90-43
       (966-2) 668-92-65
e-mail: jed@uzairways.com"
Thailand,Bangkok,,(66) 02 6355400,(66) 02 6355403,,"Bangkok
191/42 CTI Tower, 21st floor, Ratchadapisek Road, Klongtoey, Bangkok.
ZIP CODE:10110
Tel: (66) 02 6355400; Fax (66) 02 6355403"
Turkey,Istanbul,"Chumhuriyet CD., Umac Apt. 141 D-4, Elmadag — Istanbul","(00-90-212) 296-46-31/32
        (00-90-212) 663-69-31",(00-90-212) 296-46-30,ist@uzairways.com,"Istanbul
Address: Chumhuriyet CD., Umac Apt. 141 D-4, Elmadag — Istanbul
Tel.: (00-90-212) 296-46-31/32
        (00-90-212) 663-69-31
Fax: (00-90-212) 296-46-30
e-mail: ist@uzairways.com"
United Arab Emirates,Sharjah,"Dubai, Deira district, Al Ittihad building, office 608.",+971 4 256-88-14,,Dxb@uzairways.com,"Sharjah
Address: Dubai, Deira district, Al Ittihad building, office 608.
Tel.: +971 4 256-88-14
e-mail: Dxb@uzairways.com"
USA,New-York,"400 Kelby str., 16-td floor, Fort Lee, NJ, 07024, USA",(1-201)9444474,(1-201)9444407,nyc@uzairways.com; uzbekair@aol.com,"New-York
Address: 400 Kelby str., 16-td floor, Fort Lee, NJ, 07024, USA
Phone.: (1-201)9444474
Fax: (1-201)9444407
e-mail: nyc@uzairways.com
              uzbekair@aol.com"
Germany,"Frankfurt, Munich",,+49-69-133-76-167 / 170 / 171 / 172,+49-69-133-76-169,fra@uzairways.com; Uzbekistan_airways_fra@t-online.de; muc@uzairways.com,"Frankfurt
City office: Hebelstrasse, 11, 60318, FRANKFURT AM Main
Code: CNTR - 49, CITY - 69
Tel:+49-69-133-76-167 / 170 / 171 / 172
Fax: :+49-69-133-76-169
Email: fra@uzairways.com
Uzbekistan_airways_fra@t-online.de
Munich
City office: Waltherstrasse 33, 80331 Munich
Email: muc@uzairways.com"
Belarus,Minsk,,+375173286908,,msq@uzairways.com,"Minsk
Yanka Kupala str. 25, room 307
City phone: +375173286908, +375 (17) 348-6867
e-mail: msq@uzairways.com"
Tajikistan,Dushanbe,"734024 Dushanbe, Druzhba Narodov str., 62/35, 3-rd floor.",+ (992 44) 610-00-67,+ (992 44) 610-00-69,dyu@uzairways.com,"Dushanbe
Address:
734024 Dushanbe, Druzhba Narodov str., 62/35, 3-rd floor.
tel. + (992 44) 610-00-67, 610-00-68
Fax + (992 44) 610-00-69
E-mail: dyu@uzairways.com"
Pakistan,Lahore,"Room #4163, 4-th Floor, Lahore International Airport, Lahore, Pakistan",+924236611553/54,,lhe@uzairways.com,"Lahore
Address: Room #4163, 4-th Floor, Lahore International Airport, Lahore, Pakistan
Phone: +924236611553/54
E-mail: lhe@uzairways.com"
France,Paris,"6 Rue La Perouse, 76116-Paris",,,par@uzairways.com,"Paris
Тел.: +33 140 75 00 42
Address: 6 Rue La Perouse, 76116-Paris
Email: par@uzairways.com"
